Date,Sentiment_Score,Tweet_Volume,Open,High,Low,Close,Log_Returns
2018-07-02 15:00:00,0.0,2,5282.32,5287.26,5276.64,5280.68,0.00028969344766441904
2018-07-02 15:30:00,0.0,0,5280.04,5285.59,5276.72,5282.21,0.0016608031661431415
2018-07-02 16:00:00,0.0,0,5283.26,5293.4,5278.85,5290.99,-0.001963752570229697
2018-07-02 16:30:00,0.0,2,5291.5,5293.19,5279.54,5280.61,-0.0010534633578951418
2018-07-02 17:00:00,0.24695,2,5280.99,5288.52,5275.04,5275.05,0.0003241150124896973
2018-07-02 17:30:00,0.0,1,5275.44,5276.76,5275.43,5276.76,0.001607648890421079
2018-07-03 09:00:00,0.0,0,5302.36,5314.48,5284.12,5285.25,0.0035884641179843744
2018-07-03 09:30:00,0.4939,1,5285.97,5304.25,5284.31,5304.25,0.0015936768699444353
2018-07-03 10:00:00,0.347,1,5304.07,5312.98,5303.62,5312.71,0.0013016891817042933
2018-07-03 10:30:00,0.160675,4,5312.13,5327.86,5312.12,5319.63,-3.7596670439937274e-06
2018-07-03 11:00:00,0.0,1,5320.52,5323.32,5312.56,5319.61,0.00163412233300194
2018-07-03 11:30:00,0.0,4,5319.12,5334.69,5318.21,5328.31,-0.00012575134096594237
2018-07-03 12:00:00,0.0,1,5327.89,5331.09,5325.77,5327.64,-0.000525699192016193
2018-07-03 12:30:00,0.0,2,5327.78,5330.23,5324.77,5324.84,0.0005163141294693365
2018-07-03 13:00:00,0.0,1,5325.11,5327.82,5322.85,5327.59,0.0011124546340030882
2018-07-03 13:30:00,0.0,1,5327.86,5334.0,5327.79,5333.52,-0.0004200735190420813
2018-07-03 14:00:00,0.2202,2,5335.55,5336.21,5330.27,5331.28,-0.00046341072996604836
2018-07-03 14:30:00,0.4404,1,5331.14,5331.15,5325.75,5328.81,0.00031709369821505533
2018-07-03 15:00:00,0.0,0,5329.22,5332.51,5326.46,5330.5,-0.000679341477777991
2018-07-03 15:30:00,0.0,0,5330.84,5335.4,5323.5,5326.88,-0.0008714335632678691
2018-07-03 16:00:00,0.4404,1,5325.88,5327.98,5322.06,5322.24,-0.0009004022342030704
2018-07-03 16:30:00,0.0,1,5320.83,5329.69,5317.45,5317.45,-8.651137253807135e-05
2018-07-03 17:00:00,0.0,1,5318.13,5321.8,5314.93,5316.99,-4.137765005621441e-05
2018-07-03 17:30:00,0.019066666666666666,3,5317.82,5317.82,5316.77,5316.77,-0.0006396905621077118
2018-07-04 09:00:00,0.019250000000000017,2,5313.96,5313.96,5307.2,5313.37,-0.0004442612253732228
2018-07-04 09:30:00,0.4939,1,5315.09,5316.51,5311.0,5311.01,0.000461199484478247
2018-07-04 10:00:00,0.1735,2,5310.97,5316.27,5307.85,5313.46,0.0009875689396784948
2018-07-04 10:30:00,0.0,1,5313.37,5320.67,5312.72,5318.71,0.0006634746201216378
